experiment,task,split,metric,mean,std,ci95_low,ci95_high,ci_method,n_seeds,seeds,values
colored_rotation_vit,colored_rotation,test_ood_angle,balanced_accuracy,0.5896666666666667,0.014571661996262966,0.553465730010583,0.6258676033227504,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.5960000000000001, 0.6, 0.573]"
colored_rotation_vit,colored_rotation,test_ood_angle,brier,0.24635131934833923,0.006117798454124792,0.23115263889793788,0.2615499997987406,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.23999624088459834, 0.2468573063694033, 0.252200410791016]"
colored_rotation_vit,colored_rotation,test_ood_angle,fn,211.66666666666666,39.878983604567125,112.59378398875567,310.73954934457765,student_t_over_independent_seeds,3,"[0, 1, 2]","[182.0, 196.0, 257.0]"
colored_rotation_vit,colored_rotation,test_ood_angle,fp,198.66666666666666,26.407069760451147,133.06257429092804,264.2707590424053,student_t_over_independent_seeds,3,"[0, 1, 2]","[222.0, 204.0, 170.0]"
colored_rotation_vit,colored_rotation,test_ood_angle,log_loss,0.6895654530453706,0.012579112635782638,0.6583146828974977,0.7208162231932436,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.6751949790175981, 0.6949200667046207, 0.6985813134138934]"
colored_rotation_vit,colored_rotation,test_ood_angle,n,1000.0,0.0,1000.0,1000.0,student_t_over_independent_seeds,3,"[0, 1, 2]","[1000.0, 1000.0, 1000.0]"
colored_rotation_vit,colored_rotation,test_ood_angle,threshold,0.5,0.0,0.5,0.5,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.5, 0.5, 0.5]"
colored_rotation_vit,colored_rotation,test_ood_angle,tn,301.3333333333333,26.407069760451147,235.7292409575947,366.93742570907193,student_t_over_independent_seeds,3,"[0, 1, 2]","[278.0, 296.0, 330.0]"
colored_rotation_vit,colored_rotation,test_ood_angle,tp,288.3333333333333,39.878983604567125,189.26045065542235,387.4062160112443,student_t_over_independent_seeds,3,"[0, 1, 2]","[318.0, 304.0, 243.0]"
colored_rotation_vit,colored_rotation,validation,accuracy,0.598,0.017058722109231997,0.5556203648788713,0.6403796351211286,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.603, 0.612, 0.579]"
colored_rotation_vit,colored_rotation,validation,accuracy_ci95_high,0.6279451215051984,0.016790858351625845,0.5862309505517157,0.6696592924586812,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.6328754143992976, 0.6417188815228144, 0.6092410685934831]"
colored_rotation_vit,colored_rotation,validation,accuracy_ci95_low,0.5673048338316328,0.01719603030609268,0.5245840787107272,0.6100255889525383,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.572336273352678, 0.5814239245764211, 0.5481543035657991]"
colored_rotation_vit,colored_rotation,validation,auc,0.6242826666666667,0.01425840234154355,0.5888599729399284,0.6597053603934049,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.622744, 0.639248, 0.610856]"
