model,router_mode,metric,n_seeds,mean,std,ci95_low,ci95_high,ci95_low_display,ci95_high_display
maze_moe,uniform,missed_path_activation_rate,3,0.00889248996352156,0.005817609963759848,-0.005560420750567379,0.023345400677610498,0.0,0.023345400677610498
maze_moe,uniform,monotonicity_violation_rate,3,0.0011278929566712274,0.0005074731173101593,-0.000132841898359161,0.0023886278117016156,0.0,0.0023886278117016156
maze_moe,uniform,obstacle_violation_rate,3,0.0,0.0,0.0,0.0,0.0,0.0
maze_moe,uniform,off_path_activation_rate_at_0_1,3,0.016188301183283328,0.003297554248354179,0.007996061170079342,0.024380541196487315,0.007996061170079342,0.024380541196487315
maze_moe,uniform,path_precision,3,0.9857872883478801,0.003555583128004017,0.9769540173301111,0.9946205593656489,0.9769540173301111,0.9946205593656489
maze_moe,uniform,path_recall,3,0.9909438435236613,0.005822455065306633,0.9764788959386764,1.005408791108646,0.9764788959386764,1.0
maze_moe,uniform,premature_activation_rate,3,0.33491002321243285,0.041281217301867866,0.23235351778331967,0.437466528641546,0.23235351778331967,0.437466528641546
maze_moe,uniform,router_entropy,3,0.6931473731994628,0.0,0.6931473731994627,0.6931473731994627,0.6931473731994627,0.6931471805599453
maze_moe,uniform,router_tetris_weight,3,0.5,0.0,0.5,0.5,0.5,0.5
maze_moe,uniform,router_tetris_weight_on_path,3,0.5,0.0,0.5,0.5,0.5,0.5
maze_moe,uniform,router_tetris_weight_on_walls,3,0.5,0.0,0.5,0.5,0.5,0.5
maze_moe,uniform,trajectory_mse,3,0.009650109310944876,0.0012249913549925195,0.006606816482871645,0.012693402139018107,0.006606816482871645,0.012693402139018107
